Customer_ID,First_Name,Last_Name,Phone_Number,Email_Address,Customer_Type
10000,kamala,Nayana,8576465699,nayana11@gmail.com,Student
10001,Nidhi,Mittal,8123457024,mittal11@gmail.com,Student
10002,Chandrika,Bolla,8123451709,bolla11@gmail.com,Student
10003,Gayathri,Maganti,8123546789,maganti11@gmail.com,Student
10004,Hithaishi,Avula,8987654321,avula11@gmail.com,Student
10005,Lahari,Palle,8120989767,palle1@gmail.com,Student
10006,Dheemanth,Uppalapati,8124366666,dhee11@gmail.com,Student
10007,Radha,Uppalapti,8127777777,ra11@gmail.com,Student
10008,Radha,Vallabhaneni,8177777772,radha11@gmail.com,Student
10009,Swarupa,kanaka,8777777712,swapu11@gmail.com,Student
10010,Anshika,Nunna,8101010102,anshi11@gmail.com,Student
10011,Avi,Pullela,8182818212,avi11@gmail.com,Student
10012,Keerthi,Kanakamedala,8272727212,keer11@gmail.com,Student
10013,Suresh,Kakarala,8292929212,suri11@gmail.com,Student
10014,Samba,Uppalapati,8129020932,samba11@gmail.com,Student
10015,Shruti,Ganji,8129302032,ganj11@gmail.com,Student
10016,Rahul,Samana,8116263742,sam11@gmail.com,Student
10017,Sindhu,Bhargavi,8199988892,sindh11@gmail.com,Student
10018,Harshith,Sahas,8190909092,harsh11@gmail.com,Student
10019,Sravya,Bobba,8909090912,srav11@gmail.com,Student
10020,Spoorthy,Kanamedala,8178787872,spoo11@gmail.com,Student
20000,Sita,Sree,8576460899,Sree11@gmail.com,Employee
20001,Nidhi,Mittal,8123456789,nm11@gmail.com,Employee
20002,Sandra,Meyer,8178780872,sandra00@gmail.com,Employee
20003,Laura,Meyer,8178780872,laura00@gmail.com,Employee
20004,Milly,George,8178780872,milly00@gmail.com,Employee
20005,Anna,Miller,8178780872,anna00@gmail.com,Employee
20006,Andy,Miller,8178780872,andy00@gmail.com,Employee
20007,Sandra,Bullock,8178780872,sandy00@gmail.com,Employee
20008,Stephne,Miller,8178780872,stephy00@gmail.com,Employee
20009,Lilly,Miller,8178780872,lilly00@gmail.com,Employee
20010,Roger,Mike,8178780872,roger00@gmail.com,Employee
20011,Andy,Blake,8178780872,blandy00@gmail.com,Employee
30000,John,Smith,8576400649,John11@gmail.com,Business
30001,Franklin,Roosevelt,987654321,roosevelt,Business
30002,Harry,Truman,987654312,harry123@gmail.com,Business
30003,Dwight,Eisenhower,987654313,Dwight@yahoo.com,Business
30004,John,Kennedy,987654314,Kennedy@yahoo.com,Business
30005,Lyndon,Johnson,987654315,Lyndon17@gmail.com,Business
30006,Richard,Nixon,987654361,nixon13@yahoo.com,Business
30007,Jimmy,Carter,987654317,carter12@yahoo.com,Business
30008,George,Bush,987654318,george@gmail.com,Business
